Țară/Regiuine,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28
Afghanistan,-0.6928781078696317,-0.3023942017633562,-0.107029988594981,1.0967699885364008,1.1517895549708341,-1.5232698435559957,0.012992247455310265,0.34451798295177133,0.11791132701684229,-0.0123490184172816,0.021975007552414223,-0.021232463367391676,0.026553237235973883,-0.1466998716534447,-0.1624530449543226,0.15424269138729396,0.11186667736000032,0.12877023160468426,0.12937774518726666,-0.11919865293117458,-0.14396951271321606,-0.03004141898114847,0.0015419007760093494,-0.0713327419672995,0.005736743212290544,-0.004810297532817821,0.0005025860037187912,0.004686018540432391
Albania,-1.1053592497766336,-0.44612513669273207,-0.05424384134368498,-0.00960254452520074,-0.13764796577869076,-0.01567859307374711,-0.05493087654557221,-0.016294453195745795,0.04759726215672189,0.04567011093362777,0.010573006995578242,-0.005498534411994419,-0.09431282575049856,-0.031833712324585046,-0.03933532804469403,0.01753643399716021,0.02642451880755035,-0.005525162835985739,-0.01698248201695299,-0.025054957370030898,-0.025751879834817824,-0.0016811017101709758,-0.015735283761268974,0.007869181864577184,0.012240743734410892,-0.006756200864532149,0.0018085868082325862,0.0007533401148691557
Algeria,-0.31293281894748387,-0.41055857769460463,-0.059554426904620775,-0.21844888514853103,-0.2932477994172276,0.4515547550715279,-0.1723591962990316,-0.21176217997939026,0.014539773576018319,-0.5173669182420474,0.2797262684691945,-0.06072753585005038,-0.18191855773931706,-0.035206196929899576,0.03878307684295515,0.09119834163685582,-0.14537325027790424,-0.09747938788392921,0.019926818061062557,-0.17709625427573117,0.35199791564714694,-0.2516076447275303,-0.10956166077124722,-0.04469775405648871,-0.10657084681284194,-0.0009477389506836056,-0.014342323219788618,0.006389510457098585
American Samoa,-0.8434307442430424,-0.4137908785231739,-0.0731971605525681,0.07398204083988048,0.09679838309218143,-0.13446706017595592,-0.03685180659897853,0.05897958111342993,-0.09001608825163865,0.17445608395432263,-0.33722411832494903,-0.06817210833911268,-0.060749674286076784,0.01938704329948872,0.11244883531244261,0.011188515809979902,-0.028053230576546562,-0.1467944278971728,0.0006841631267355883,0.014813176629974409,-0.0005046455578633507,0.08688637593874067,0.06604230264118752,-0.04101472941474568,-0.005712700576748297,0.029318376819519217,-0.009183497310813195,-0.0001554889848829883
Andorra,-0.887892689885249,-0.4713933887194209,-0.017498090707748656,-0.5626866814533924,-0.7553494013753983,1.1015780834645246,-0.14270471158221137,-0.2393419346310861,-0.22731549691137864,0.15699258806460234,-0.3251031549263445,-0.08109471429291946,-0.09440178836106398,0.05192346282236517,0.1190991154676307,-0.0264073182518499,-0.04828700533896857,-0.0763437507915949,0.05465682135789115,0.02731937372152029,0.008000984773467813,-0.043508453765466144,0.06829205412333729,-0.001598737544807475,0.011351325246371032,-0.019908047174278434,-0.0019320048051717593,0.0004591144945920007
Angola,-0.55818768074129,3.842907482261858,-1.452532812455453,0.8591208817906224,-1.5535593451126781,-1.1645426005014288,1.6947606645135969,0.08587614609549767,-0.7798804895192238,-0.20976175034054087,0.16088185835011745,-0.19900669019417916,-0.11919763998690576,-0.46893165502924816,0.06630488336235009,-0.1288525768226518,-0.037646010893445346,0.03481994217584275,0.017320583318283105,-0.029857529757890754,0.08578325081130683,-0.007945598042028741,0.0274188211881072,0.12067819032554014,-0.023557337039859648,-0.020861684925992982,0.008762021293672855,-0.003280619410838724
Anguilla,-0.7366919302577635,-0.17796746441577627,-0.1038824635836796,0.27567338624599597,0.4952824032643881,-0.3310907448541099,-0.29801235520668046,0.28882995503962355,-0.1695477496622835,0.12158181900295859,-0.3800737055857196,0.03327241010723897,0.01170277198126316,0.08715115865807593,0.09298222397364014,-0.11551039394195986,-0.011534581795091113,-0.034534952287716206,-0.013819254233857927,0.06511241957930643,0.03386622927595853,-0.01666246623174717,0.02890275816419846,0.037196644811681286,0.001795058169959492,-0.02323625197627981,0.001452537741162244,0.002470242107585499
Antigua and Barbuda,-1.1040698073732522,-0.30647283037350004,-0.10615628529318002,0.2541179071717095,0.2855728424130096,-0.6554427749968739,-0.13664684844771155,0.3302227755429523,0.24347095701071922,0.12239733572946322,0.028682463608901452,0.05022209716054736,-0.08350398710283011,0.003148163637953466,-0.07336270192428691,-0.006888767673705837,0.008602627327220221,0.03862509073567722,-0.03340520312301236,0.0016347894997839644,-0.013758399150511578,0.005792690516284758,-0.03685699113120605,0.03026750600510294,0.01578349698712598,-0.00405652450820899,0.003663142084091179,0.0018710704167170396
Argentina,2.151455505007766,1.5697339400035542,-0.858762099707569,-1.1614822631184976,3.6223604321599296,0.8171537294919671,-0.5512825367297081,-1.263044190213616,-1.234475818249841,2.8132289390694485,2.0450756433399335,-0.17753702036450583,0.08711223133240481,-0.6012241187780671,-0.24604137927605405,0.3425542681981391,-0.10521895055330518,0.3556936043397414,-0.08336699967132476,-0.12743522290489778,0.0378357781278286,0.0892340849816419,0.06186464231750476,-0.08651118281432735,0.007788754550180593,0.0037758985838168414,-0.0011088318588682337,-0.00019595848533130074
Armenia,-1.1259846581821713,-0.4613006453167263,-0.05150085323684977,-0.13086524773624061,-0.3145635656436287,0.21067714342879934,-0.08856268027762951,-0.08097154470735089,0.025622578863630285,0.03661737040191907,0.060989021131898254,0.00015659473980407976,-0.09975848261668488,-0.015329089196439901,-0.04100676028686748,-0.016057604632049145,0.009155397785386774,-0.00638966518217077,0.0019735862449106927,-0.03052381938999995,-0.009996775540709147,0.0021175541568606245,-0.012958068841995386,0.007537768799048274,0.012425372150422668,-0.005559390102367637,0.0011128495451909288,-0.002002519805568759
Aruba,-0.8808283423761339,-0.38361276123232646,-0.06791058687862357,0.17358126754963465,0.22911936583416445,-0.23233011788409028,-0.01938133265009407,0.08580843945355998,-0.08100006292775924,0.17666257433589863,-0.34564941709867714,-0.040469508343386563,-0.04643321475174664,-0.0011428552818123117,0.08415726412845405,0.02041107919603811,0.012324211622904306,-0.07958604265588275,0.024851066795747407,0.047286168789971036,0.008721555032032029,-0.04280926394846936,0.05230493324436615,0.010403882798136857,0.013766041480033082,-0.020939471675843195,0.0008552847311407606,0.001006119894898212
Australia,1.0560878554532251,1.8759183275120739,-0.9814316101226979,-0.36409493442975266,1.5786363538571349,0.042828852155335904,0.9783841863014666,-0.8105245258580237,-1.561909323155375,-0.289230786272261,0.9107201370229719,-0.018372005264295874,-0.19124498801947176,1.5630068333344467,-0.28638365889674977,0.3820535233441373,0.21939360341469305,0.08604006011684316,-0.234056547380709,-0.05125126431381044,0.13384825536930703,-0.0931264354752949,0.012499737144599274,-0.004526646545409239,0.09252943373298624,0.041675168462082454,0.0005004954272351607,-0.004880708262365885
Austria,-0.7737750552403418,-0.503677471068595,-0.04245831446656596,-0.5934062460485976,-0.6849213242439197,0.8297593288154006,-0.037635968374696384,-0.20966407979983195,0.017351911254830384,-0.0349985539374745,-0.0412232137241028,-0.007221675649071862,-0.1223709353002186,0.020234511511582044,0.05455660744493787,0.006220150732162898,-0.07039613316059896,-0.007496261701501447,-0.04737690903114504,-0.059012492239393345,-0.028750720518416786,0.05406149516187295,0.01850794861305764,-0.03677135463658633,0.04110066437270145,-0.024664427352197548,0.00040677994367101694,-0.0017860918951969839
Azerbaijan,-0.9432751607362613,-0.42804531254906386,-0.0649489173181592,-0.1131938868626812,-0.2500950928736834,0.27543992086150487,-0.14044731879265995,-0.09743802637095464,-0.031030975892019353,-0.06367729019861547,0.08645060941316211,-0.005889167178251894,-0.10016615676620175,-0.012824050819695612,-0.03563258249683716,-0.06611972860124289,0.043104488302126515,-0.002380064530010226,0.05646519942384695,-0.017267677886717573,-0.05350791966508413,-0.027125535335499194,-0.023619566982185956,0.003978982504530164,-0.0013080004369416683,0.000757129849919854,0.0028384644044704816,-0.0003899760200362658
Bahamas,-1.147184319627362,-0.4513979250077754,-0.06827380401895145,0.023167479777663445,-0.1269606502147791,-0.12664915720468473,-0.05649987821276731,0.023680119600341085,0.06590570114092605,0.07624506584070127,0.05989266867122209,-0.01791864339343506,-0.07577949448481262,-0.010166620714440511,-0.019293020858316377,-0.009204627882416447,-0.014498861320255409,0.018131970837484055,-0.009917307044704544,0.009976726846779235,0.00025106110344468366,-0.0022271190140297757,-0.018938850995917626,0.01751651775625435,0.015506526261088801,-0.002340874855363912,0.002239642886038398,-0.00047462204395385223
Bahrain,-0.9929428357779018,-0.4985715145098691,-0.062125359116537854,-0.3646040198267536,-0.5493255892327292,0.5130047995239553,-0.10398209215705799,-0.17996724196024566,0.008314461732628843,0.1394837399276446,0.0643638885427009,-0.0031350193686482102,-0.07746899084817846,0.014715489886752775,0.10917176706768886,-0.05241987175049706,0.1076060282906716,-0.10356378354501052,0.24544076959927738,-0.044561963013441015,-0.07219139725992037,-0.038743826572739504,0.03328134539999428,0.0033929130300770155,0.022974979398615657,-0.0026900678596832274,0.002855940736145363,0.0038779975392888876
Bangladesh,1.149592594147155,-0.07480419564821206,0.9520406444375188,1.6225860181247937,0.41731053898294,-0.14047021447986746,0.04937728654508419,0.06422969630391515,-0.23832683827565812,0.18749526070269365,0.018975412020830366,0.7991624880175786,1.1719123080247316,-0.24437005397901015,-0.1461867547300007,0.4925851590972887,0.025111346276805595,-0.15605188062960157,0.3734634918017662,-0.20713467736686814,-0.001984668275291797,0.02382806066876323,0.1388999871230555,0.01961926133766786,-0.030110961198756753,-0.02992202227355956,-0.026397572643162264,-0.009473129978936078
Barbados,-1.163642747191992,-0.43447384876090916,-0.07519770999574375,0.18465167183306366,0.09678392758402772,-0.3983924348073359,-0.031647030870511766,0.08019151980755622,0.09617715109652851,0.0799335465171556,0.04744290466786061,0.0016094444026546945,-0.08007533027595957,-0.033696591708594625,-0.056705382636430206,0.0025528693304162817,0.02454497543333861,0.00032107032036610627,-0.015698823402175086,-0.005481747527306898,-0.0029334119225605856,-0.00046162942404672327,-0.022636901531581946,0.014500375111369784,0.02288325369933175,-0.0030453321679485613,0.0030524646815001636,-0.00033703868958866797
Belarus,-0.3503972071629038,-0.2552147634666662,1.4572469252529017,-1.9767974550892455,-1.6313349104829393,2.0244701834700725,0.20900909215315608,0.405796455198164,-0.30046898721345716,-0.002241628311430595,0.17314616093971105,-0.6289982181514029,1.0899182569539891,-0.002532995151812144,-0.15078433513140815,-0.06239574113680994,0.20087913740124708,-0.176169257406957,-0.23065906307501033,0.20325757455911567,0.011111719257053497,0.10862388270100426,-0.03727962716714047,0.050209952204131,-0.028476396564549845,0.005422827678908068,0.01037211715216542,0.0049751853988781285
Belgium,-0.6873777269566432,-0.5401336409495868,-0.03830063752639695,-0.8154447874912468,-0.931133267266803,1.1800698631202002,-0.02068448442228115,-0.4239490601908899,-0.00395220913986451,-0.06936439606045551,-0.15305009351856322,-0.05890940723951617,-0.11870076280101538,0.026426769731838627,0.023451556969352187,-0.007631317416738173,-0.050025079793725113,0.08065113503474494,-0.04074206355056366,0.004239013687721884,-0.05880437773160663,0.012530039579571927,0.030873370166626005,0.027242216121751286,-0.016217854308424668,-0.007897104710098544,-0.0019688978777647847,0.0010062031717120755
Belize,-1.0720474383931538,-0.40227195003404376,-0.07990980621481861,-0.17393755945903827,-0.3917275558005328,0.10993699020302394,-0.11370190983016384,0.033898576576477005,0.07098893529950558,0.10176961498134476,0.09039447863479384,-0.11895402638682373,-0.013556302521319188,0.07648437497679686,0.11704571672034272,-0.0245705089546697,-0.18772826355766256,0.10830841830303845,-0.019833421366053716,0.09392756613602724,0.03615250000633909,-0.005480857444327208,-0.0037711872254718552,0.03230343641191469,0.0016500734822392454,-0.0002973647906024989,-0.0010418057803693076,-0.0017634951080154613
Benin,-0.9961993321315958,-0.26254652094714304,-0.0950495093736556,0.3272865306609257,0.36376632705333606,-0.49787877116409907,-0.10313924337543375,0.09323447237158056,0.17365990252903762,0.04731072685467603,0.06743084768086693,-0.0023349399209609627,-0.06372196973858714,-0.03551259460044613,-0.10044081433362534,0.021465676347796704,-0.007178791926512086,0.003626110349466312,-0.01313132429758041,-0.05333235878138638,-0.01485281092987455,-0.009016457687216952,0.010072714013557641,0.010480111885127534,0.01334901503667379,-0.006692559581542589,0.003407223380159037,-9.238740075375313e-05
Bermuda,-0.7229324781281211,-0.19676398797989503,-0.11706548150861719,0.1957499353633574,0.4148285979709932,-0.2612657009610896,-0.3079585649211681,0.25457932109072484,-0.17679571086443321,0.09538432462841435,-0.38513129606594476,-0.006789231250138111,-0.03641546069061745,0.08228049267414608,0.060348919127247,-0.1293932591125174,-0.006922901976907988,-0.1195126751272122,-0.016026237567695275,0.011640748176279364,0.01484533898230583,0.11225674919101661,0.03684221163729949,-0.022488894100705516,-0.013340157834994065,0.02779872632708815,-0.007805491538886762,0.001803871718715712
Bhutan,-1.1123737737670905,-0.4489076290630083,-0.08676258123383102,0.1905480627335457,0.10987179669121251,-0.4913469447162066,-0.03798310807344104,0.1687909863068305,0.10104309468398247,0.0896931668793699,0.06295643869998449,-0.05940404582276897,-0.03606876629954325,0.013196014027845333,0.033861165518162636,-0.000476688248167549,-0.08696868284771911,0.06577348076649614,-0.02008656921384359,0.054435322377347786,0.0168387837271463,0.001507242544521594,-0.014559752014267329,0.030316584331904428,0.0069522336841209564,-0.003064446460013247,0.0012587257573388353,-0.00010765474045077838
Bolivia (Plurinational State of),-0.4192513365559617,2.8623111190863813,-1.0752581882791679,0.2679555797741938,-0.7806708439009833,-0.6111747162964202,0.5722038543546093,-0.17532040998284176,-0.33726018748602804,0.03944210550639187,0.05502456544730155,-0.1588592519608507,-0.08421188657926973,-0.10246853045467376,-0.05653601629582208,-0.09924735082784125,-0.03760691061714161,-0.08475699669151754,-0.1350740057775954,-0.05688937002436137,0.09011101302707407,0.23573283786100147,-0.009648818801567607,-0.10977719512025733,-0.012416371353382374,-0.06976071005711035,0.010779219284761967,0.004471067756799985
Bosnia and Herzegovina,-1.0692381120862124,-0.465014024442134,-0.04598404671648563,-0.2668539041195089,-0.4180991218573447,0.4251342266898985,-0.06232084570174161,-0.13524212777453815,0.016088118081021462,0.05815895432417932,0.04316380481136922,0.008717612391160883,-0.12572841172709967,-0.027383585466296226,-0.05453086505914691,0.0023412522131902214,0.001921624872492637,-0.013999675096756465,-0.01798754145644331,-0.03075750592601733,-0.024004473190535083,-0.007700260642683996,-0.007184416510388519,-0.01323904674070175,0.022817578445111116,-0.00710267213461945,-0.00030685495965941374,-9.087285982140646e-05
Botswana,-1.0691215741064894,0.02130461786586175,-0.11189308712182745,0.8378765919384258,1.082173576649329,-1.6114002462777777,-0.2731208753465599,0.3844884590360907,0.6220782060634896,0.11975152260838051,-0.04663739026190867,-0.008057757191120722,0.009987722884234228,0.03537562893497352,-0.14546347044339636,0.04032898477687132,0.11946142373874742,-0.0064520511641717355,-0.048512455444340595,-0.0051038488216375,-0.011624417379564976,0.012012828756317474,-0.046738079499618494,0.022694796371703883,0.010190722907077718,-0.02026303409759107,0.009256457874422124,0.0009517496184925501
Brazil,8.86028295684702,14.238235810586668,-3.479638951753807,-1.177909047329277,4.2454807092805025,3.110147955016507,-4.802073764791423,0.3875681678469524,-0.46433100387106724,-0.1826176821221394,0.005061114413150135,0.45398704088291886,-0.25742679823779435,-0.32269876894552213,0.4075796629482117,-0.05630184318513622,0.3145799848873052,-0.12029798040463055,-0.07477737714971212,0.2783445489357792,0.01962857959032318,-0.09744591509496368,0.10689157817709288,0.03410107628131921,0.016824335715592845,0.005494701073143453,-0.007079853960820477,0.006570075801406038
British Virgin Islands,-0.658205560709045,-0.21377788429995465,-0.10975343694812446,0.19271106412300326,0.35953006445378766,-0.25556715820843423,-0.3267440173439525,0.2456114605680825,-0.18632021969274715,0.12664881242742676,-0.37322824022449924,0.006575987651901018,-0.015153824872906717,0.10347546058634488,0.07010508193319732,-0.1523961324538522,0.021298658753470322,-0.03277631506887746,-0.03468660216425135,0.03700240982193929,0.13629118229759127,-0.10367930718387135,-0.006262122790435421,-0.006038916353421176,-0.03403351425506868,-0.007020566940096217,-0.0064481121073603695,0.0009772808021673118
Brunei Darussalam,-1.0806484108413477,-0.49752723421113854,-0.03287154817091204,-0.20444289148587472,-0.4088074798340326,0.17402565233995135,-0.09550638253593276,0.005904737266301919,0.03771842031573591,0.07552671047058428,0.09014193228604023,-0.10168842855797068,-0.045034080741687195,0.06880306153592783,0.11016294184460508,-0.03867656562844477,-0.175596255804506,0.09302986418356717,-0.017805429928694615,0.0860128540272372,0.027036485653810942,-0.01082395836586507,0.002640065609804203,0.024605205291886798,-0.003970571286544196,-0.003921114738036833,-0.000815615323610686,-0.0011731858931020725
Bulgaria,-0.916159436046156,-0.4479009236544433,-0.04603497674463643,-0.5595911529752559,-0.5729587255654979,0.7203673443475181,-0.10522038808064935,0.17848880576983342,-0.024044475031368057,0.10005418403716555,0.0660085145913769,0.15451641532636434,-0.20733519850254373,-0.06493329982191978,-0.1180827553471995,-0.037591811396057585,0.05107779929021023,-0.019814480236645386,0.03776146196398763,-0.08766940877315546,-0.06398121969996691,-0.0047221219835261565,-0.003001579057565762,0.01819874949039667,0.01020862087747634,0.0010004905657195974,0.001294241675372617,0.004627419150991369
Burkina Faso,-0.7737902168634238,-0.23534048192828122,-0.06761718623342282,0.48789971123004916,0.4167610673115859,-0.3217078785088689,-0.3283424507370386,-0.14805365475172627,-0.1738286706378642,-0.1139455891625907,-0.0685631381495856,-0.10437978182008895,0.100368062995534,0.03257103643465825,0.007385260098338527,-0.05767060453473005,0.07993812043899196,0.060230717493178015,0.07739393545465105,-0.04660060480974542,-0.08969808082460866,0.008414843437162449,-0.015203461544912237,-0.018495771167164814,-0.016318399067145214,-0.011845760424634809,0.003741079321821839,-0.0017614438588749338
Burundi,-1.0647470213856238,-0.39605884706048644,0.054794759308226804,0.2329006833536612,0.09712047603814855,-0.3197208977887618,-0.019089593281009593,0.11497635467095063,0.06378879559767682,0.036388435790749823,0.06305466152003791,-0.05560668734328584,0.017175461366763223,-0.0599644591365576,-0.13392733545086466,0.03358493893536457,0.027868731409810225,-0.014234580200677974,0.01249100178818157,-0.036327298628062096,-0.029410494749243985,-0.004242453100300788,-0.02386321954100487,-0.024888125820494832,0.032660036783936044,-0.0039031073967537456,0.0023065189118139863,-0.0012824385067501415
Cabo Verde,-1.166045624314747,-0.4366761888855929,-0.07318453498194738,0.17232670374325304,0.07438935803842488,-0.37182123205289713,-0.036133870362318576,0.079678400627924,0.09149232981583533,0.07847262298043665,0.04478180303148927,-0.0012335539579055852,-0.07743918285104726,-0.030555914308433796,-0.050794860801603545,0.0036647866397900553,0.019356319938823762,0.004950440074767492,-0.01193828517193395,-0.00758055632618879,0.00048488670159502266,0.0027959988595441985,-0.021610593492995656,0.01784119464123918,0.01639248214220129,-0.004122864414008079,0.0031549914484189433,0.00013372476780712438
Cambodia,-0.6100988443336318,0.6568067637392463,-0.2645583340294693,0.349838552353641,-0.4048602997397007,-0.2671719808613766,0.23695949596142551,-0.0913670768424793,0.10382223247841497,0.25800188985274436,-0.05851817551273419,0.4556578722285413,0.11490677507401795,0.22181141971439855,0.023098756082181728,0.10492149026314584,0.047368442635511696,-0.034497647609132924,-0.06332739275309546,-0.020678322684518684,0.13609123454353633,0.04879967548370821,-0.03487342426814798,0.011041137776407427,0.062019005842284786,-0.012426826672088838,-0.000857557615143731,-0.003943453480061909
Cameroon,-0.752847338943958,0.46719057795194574,-0.215555883814656,0.23900937858110943,-0.09359202761177893,-0.2297334442876281,-0.1625468768897231,0.01303632245080554,0.07215579917314555,0.003496923447050559,0.05200280819390686,-0.07810599950163749,0.03569771064274627,-0.04990827605578497,-0.06391817179201417,0.04085628512012781,0.08588770140900145,0.055352316718110244,0.05956831604258183,-0.10235321952388074,-0.10470154856270768,0.01636064459073655,0.0028454281598949806,0.05023531728556308,-0.053711058318669395,0.004456329859512836,0.0034864522167667106,0.0031939306194425083
Canada,2.0817023170210267,0.9434911954531771,0.7559446276540538,-2.0692183869894825,1.5583474718599586,-0.017240765052385924,0.3733647442048755,0.8083453220701817,1.378289726558683,-0.28430858352789323,0.5299308310707823,-0.5233610055350318,1.2881562202953603,0.42339414358314387,1.016934945550496,0.11714498905763246,0.11731286466335591,0.2661444677211426,0.09993173454656204,-0.28573524464570726,-0.1938996313479482,-0.0925015181166185,-0.0229194637826217,0.05085167590627116,0.15469805430037678,0.05682147501495115,-0.01872574405805689,0.0013489301936944038
Cayman Islands,-0.8340910047320353,-0.40333466271615165,-0.08003667572662727,0.1756382727887444,0.23255729106245432,-0.32444282890852616,-0.017290068233811913,0.09871269922738925,-0.06813847416979486,0.17774624301179484,-0.3444341674374004,-0.05369262121615932,-0.04960215764548866,0.01201733269751625,0.10161646879463587,0.015160617167660581,-0.017781530424579375,-0.13828801971691784,0.0013403572509226714,0.022098390869912245,0.010570873349393503,0.09183725412821281,0.05892857636005971,-0.03776130457828381,-0.002864780284014469,0.03030978831039885,-0.008677813874325785,-7.190723368504259e-05
Central African Republic,-0.7744765981867199,5.8022083993727644,-2.2658221918104497,0.8661899934203283,-2.668654355004675,-1.626006833483324,2.9507754251774565,0.07066906395234321,-1.7315260822726282,-0.2668064013544851,0.3329381762053365,-0.17663583876462494,-0.08119327174809303,-0.6621766513531321,0.3287814389177022,-0.2716452306588361,-0.15557498982519055,0.051211545586926685,0.024843154461937463,0.05043792630675204,0.04748784289423855,-0.05966336750447107,0.019499188861869767,0.014765252319823216,0.016537947555571295,0.027634418413475553,-0.00516936945022926,0.0035273314437799476
Chad,-0.5225937374426963,0.5581527630788313,-0.2511487591101369,0.6257348162172642,0.7572567389333935,0.1023094879235202,-0.8788490372454588,-0.03696035363407573,-1.0106223634101321,-0.48867108291069566,-0.2970358901620292,-0.12152321966064092,0.19353187424777393,0.23350741488700336,-0.04338109169307147,-0.5949081032416099,-0.06507978837680306,0.054010655676227565,-0.08610058944208697,-0.06805983200311878,0.04531811145768617,0.04828536417521191,-0.1363391671612802,0.06395183694739352,-0.020533171094778292,-0.006363134571501152,0.0007959451028002833,-0.0029875598749551377
